day,views
2016-12-22,13374
2016-12-23,14116
2016-12-24,11547
2016-12-25,10882
2016-12-26,12433
2016-12-27,13454
2016-12-28,14314
2016-12-29,15813
2016-12-30,16270
2016-12-31,10295
2017-01-01,9554
2017-01-02,22579
2017-01-03,25183
2017-01-04,22281
2017-01-05,24655
2017-01-06,21964
2017-01-07,17362
2017-01-08,16490
2017-01-09,17720
2017-01-10,16258
2017-01-11,17559
2017-01-12,18224
2017-01-13,16546
2017-01-14,15220
2017-01-15,12144
2017-01-16,13679
2017-01-17,16112
2017-01-18,14637
2017-01-19,14435
2017-01-20,11860
2017-01-21,10255
2017-01-22,11029
2017-01-23,14272
2017-01-24,13062
2017-01-25,12050
2017-01-26,11932
2017-01-27,11747
2017-01-28,12571
2017-01-29,11690
2017-01-30,14073
2017-01-31,13225
2017-02-01,13278
2017-02-02,13524
2017-02-03,12876
2017-02-04,11078
2017-02-05,12070
2017-02-06,13166
2017-02-07,13554
2017-02-08,13313
2017-02-09,13381
2017-02-10,12212
2017-02-11,10009
2017-02-12,10944
2017-02-13,12472
2017-02-14,11624
2017-02-15,12330
2017-02-16,12923
2017-02-17,14331
2017-02-18,12842
2017-02-19,10644
2017-02-20,12193
2017-02-21,13870
2017-02-22,13371
2017-02-23,14046
2017-02-24,15834
2017-02-25,17751
2017-02-26,16385
2017-02-27,15063
2017-02-28,15679
2017-03-01,17507
2017-03-02,18929
2017-03-03,40347
2017-03-04,25835
2017-03-05,17862
2017-03-06,20274
2017-03-07,17149
2017-03-08,15721
2017-03-09,15556
2017-03-10,19093
2017-03-11,15958
2017-03-12,14093
2017-03-13,16417
2017-03-14,19528
2017-03-15,17689
2017-03-16,16895
2017-03-17,15663
2017-03-18,15288
2017-03-19,14669
2017-03-20,17922
2017-03-21,16453
2017-03-22,14885
2017-03-23,14546
2017-03-24,13225
2017-03-25,11334
2017-03-26,12736
2017-03-27,13370
2017-03-28,13970
2017-03-29,13533
2017-03-30,13812
2017-03-31,12980
2017-04-01,11815
2017-04-02,11420
2017-04-03,14614
2017-04-04,14537
2017-04-05,13465
2017-04-06,13169
2017-04-07,13208
2017-04-08,11200
2017-04-09,10873
2017-04-10,13166
2017-04-11,16999
2017-04-12,13871
2017-04-13,13786
2017-04-14,12174
2017-04-15,10065
2017-04-16,11044
2017-04-17,18666
2017-04-18,22995
2017-04-19,15773
2017-04-20,14703
2017-04-21,14230
2017-04-22,11143
2017-04-23,12071
2017-04-24,16047
2017-04-25,16503
2017-04-26,14681
2017-04-27,14889
2017-04-28,13791
2017-04-29,11038
2017-04-30,16195
2017-05-01,14544
2017-05-02,17143
2017-05-03,17277
2017-05-04,19238
2017-05-05,16900
2017-05-06,17793
2017-05-07,17777
2017-05-08,19666
2017-05-09,23935
2017-05-10,24385
2017-05-11,25185
2017-05-12,39626
2017-05-13,47817
2017-05-14,43113
2017-05-15,91099
2017-05-16,88685
2017-05-17,59979
2017-05-18,45865
2017-05-19,38662
2017-05-20,33314
2017-05-21,31659
2017-05-22,70929
2017-05-23,77232
2017-05-24,70266
2017-05-25,73348
2017-05-26,61597
2017-05-27,41682
2017-05-28,32640
2017-05-29,35534
2017-05-30,35423
2017-05-31,34254
2017-06-01,31694
2017-06-02,28056
2017-06-03,25776
2017-06-04,23455
2017-06-05,28797
2017-06-06,35757
2017-06-07,33834
2017-06-08,27396
2017-06-09,26320
2017-06-10,23523
2017-06-11,27303
2017-06-12,35940
2017-06-13,32860
2017-06-14,28795
2017-06-15,29145
2017-06-16,28247
2017-06-17,23079
2017-06-18,22615
2017-06-19,25447
2017-06-20,28562
2017-06-21,32491
2017-06-22,30385
2017-06-23,25673
2017-06-24,24171
2017-06-25,22222
2017-06-26,25687
2017-06-27,35577
2017-06-28,45873
2017-06-29,34271
2017-06-30,26499
2017-07-01,23015
2017-07-02,24879
2017-07-03,25546
2017-07-04,25454
2017-07-05,26835
2017-07-06,27578
2017-07-07,24291
2017-07-08,21337
2017-07-09,22075
2017-07-10,26029
2017-07-11,27965
2017-07-12,27322
2017-07-13,28320
2017-07-14,24585
2017-07-15,20377
2017-07-16,20854
2017-07-17,24527
2017-07-18,29243
2017-07-19,31101
2017-07-20,32662
2017-07-21,26503
2017-07-22,23406
2017-07-23,28733
2017-07-24,28648
2017-07-25,26829
2017-07-26,27343
2017-07-27,27907
2017-07-28,24242
2017-07-29,21545
2017-07-30,35070
2017-07-31,24947
2017-08-01,53066
2017-08-02,77020
2017-08-03,31439
2017-08-04,24554
2017-08-05,26393
2017-08-06,26523
2017-08-07,34664
2017-08-08,41798
2017-08-09,37017
2017-08-10,34824
2017-08-11,32144
2017-08-12,29789
2017-08-13,38392
2017-08-14,52910
2017-08-15,48514
2017-08-16,41717
2017-08-17,38805
2017-08-18,38499
2017-08-19,35335
2017-08-20,36346
2017-08-21,37991
2017-08-22,41910
2017-08-23,40176
2017-08-24,37747
2017-08-25,35538
2017-08-26,31638
2017-08-27,29011
2017-08-28,32545
2017-08-29,35649
2017-08-30,37497
2017-08-31,40717
2017-09-01,37745
2017-09-02,34203
2017-09-03,33920
2017-09-04,40423
2017-09-05,40049
2017-09-06,39593
2017-09-07,39771
2017-09-08,32450
2017-09-09,29221
2017-09-10,29004
2017-09-11,31487
2017-09-12,36669
2017-09-13,51285
2017-09-14,46945
2017-09-15,45844
2017-09-16,35393
2017-09-17,33829
2017-09-18,39631
2017-09-19,38494
2017-09-20,34188
2017-09-21,31065
2017-09-22,28590
2017-09-23,22355
2017-09-24,23710
2017-09-25,26521
2017-09-26,26945
2017-09-27,27887
2017-09-28,26235
2017-09-29,25139
2017-09-30,21560
2017-10-01,23638
2017-10-02,26007
2017-10-03,26996
2017-10-04,29069
2017-10-05,26853
2017-10-06,24784
2017-10-07,22487
2017-10-08,23976
2017-10-09,28288
2017-10-10,29241
2017-10-11,31418
2017-10-12,45338
2017-10-13,53804
2017-10-14,40825
2017-10-15,37131
2017-10-16,41339
2017-10-17,37203
2017-10-18,34385
2017-10-19,34379
2017-10-20,39782
2017-10-21,44661
2017-10-22,40331
2017-10-23,46345
2017-10-24,43756
2017-10-25,40927
2017-10-26,39086
2017-10-27,36708
2017-10-28,31082
2017-10-29,33836
2017-10-30,42538
2017-10-31,48178
2017-11-01,56103
2017-11-02,74790
2017-11-03,64293
2017-11-04,49914
2017-11-05,48027
2017-11-06,51778
2017-11-07,51470
2017-11-08,54912
2017-11-09,54591
2017-11-10,53492
2017-11-11,44339
2017-11-12,45229
2017-11-13,54732
2017-11-14,50079
2017-11-15,46140
2017-11-16,49047
2017-11-17,62242
2017-11-18,48910
2017-11-19,44907
2017-11-20,58371
2017-11-21,61690
2017-11-22,53155
2017-11-23,47490
2017-11-24,45720
