day,metres
2018-07-04,1.4845833333333334
2018-07-05,0.75749999999999995
2018-07-06,1.2633333333333334
2018-07-07,1.6408333333333334
2018-07-08,1.9233333333333331
2018-07-09,1.5904166666666668
2018-07-10,1.6575
2018-07-11,1.7845833333333332
2018-07-12,1.4216666666666666
2018-07-13,1.1775
2018-07-14,1.1495833333333334
2018-07-15,1.06125
2018-07-16,0.89583333333333337
2018-07-17,1.01125
2018-07-18,1.1950000000000001
2018-07-19,1.4491666666666667
2018-07-20,1.4837499999999999
2018-07-21,1.2162500000000001
2018-07-22,1.2116666666666667
2018-07-23,1.1412500000000001
2018-07-24,1.3104166666666666
2018-07-25,1.4691666666666665
2018-07-26,1.7112499999999999
2018-07-27,1.6100000000000001
2018-07-28,1.7645833333333334
2018-07-29,1.5487500000000001
2018-07-30,1.5908333333333333
2018-07-31,1.75125
2018-08-01,1.7683333333333333
2018-08-02,1.7995833333333333
2018-08-03,1.8899999999999999
2018-08-04,1.8612500000000001
2018-08-05,1.4591666666666667
2018-08-06,1.3074999999999999
2018-08-07,1.75125
2018-08-08,1.4670833333333333
2018-08-09,1.0391666666666668
2018-08-10,1.1475
2018-08-11,1.4021739130434783
2018-08-12,1.4524999999999999
2018-08-13,1.5679166666666668
2018-08-14,1.3782608695652174
2018-08-15,0.97541666666666671
2018-08-16,0.94041666666666668
2018-08-17,1.1612500000000001
2018-08-18,1.5525
2018-08-19,1.5366666666666668
2018-08-20,1.6937499999999999
2018-08-21,1.13625
2018-08-22,0.91125
2018-08-23,0.89000000000000001
2018-08-24,0.84916666666666663
2018-08-25,1.165
2018-08-26,1.0620833333333335
2018-08-27,1.2825
2018-08-28,1.21875
2018-08-29,1.1183333333333334
2018-08-30,0.87458333333333327
2018-08-31,1.2366666666666666
2018-09-01,2.1116666666666668
2018-09-02,1.7258333333333333
2018-09-03,1.4258333333333333
2018-09-04,1.4908333333333335
2018-09-05,1.3908333333333334
2018-09-06,1.0758333333333334
2018-09-07,1.3049999999999999
2018-09-08,1.7212500000000002
2018-09-09,1.9404166666666667
2018-09-10,2.2370833333333331
2018-09-11,2.5487500000000001
2018-09-12,2.0454166666666667
2018-09-13,1.3558333333333332
2018-09-14,1.1895833333333334
2018-09-15,1.3170833333333334
2018-09-16,1.0404166666666668
2018-09-17,1.0804166666666666
2018-09-18,1.3345833333333335
2018-09-19,1.9454166666666666
2018-09-20,1.6847826086956521
2018-09-21,1.2920833333333335
2018-09-22,0.83250000000000002
2018-09-23,1.4524999999999999
2018-09-24,1.7725
2018-09-25,1.3079166666666666
2018-09-26,1.10625
2018-09-27,1.1333333333333333
2018-09-28,0.88916666666666666
2018-09-29,0.81291666666666673
2018-09-30,0.83750000000000002
2018-10-01,0.82125000000000004
2018-10-02,1.07125
2018-10-03,1.1333333333333333
2018-10-04,1.2458333333333333
2018-10-05,1.5512499999999998
2018-10-06,1.9325000000000001
2018-10-07,2.7056521739130432
2018-10-08,2.6425000000000001
2018-10-09,2.2783333333333333
2018-10-10,2.1425000000000001
2018-10-11,1.7975000000000001
