day,btc
2015-09-25,9861.4277770999652
2015-09-26,4796.0481174800207
2015-09-27,2592.0015538299995
2015-09-28,12488.220159990176
2015-09-29,9459.7789053600718
2015-09-30,5152.9152008900146
2015-10-01,6107.4309694700341
2015-10-02,5607.9893645899983
2015-10-03,6221.0973625000279
2015-10-04,2081.9424153699965
2015-10-05,12198.937020280227
2015-10-06,16277.349544900164
2015-10-07,8806.6265287700862
2015-10-08,6046.7052835399927
2015-10-09,3572.4892621499948
2015-10-10,4196.5266774100119
2015-10-11,4868.9417018900494
2015-10-12,5203.5099820300384
2015-10-13,16746.31969231019
2015-10-14,10143.266936650085
2015-10-15,10462.870492320108
2015-10-16,21966.842278080039
2015-10-17,42840.667677149431
2015-10-18,15347.193091630204
2015-10-19,10903.419168970106
2015-10-20,14439.644085140011
2015-10-21,10617.446295940053
2015-10-22,27240.769584500067
2015-10-23,15857.563337830137
2015-10-24,13934.586567240396
2015-10-25,40017.650796899332
2015-10-26,17157.556275239873
2015-10-27,26822.842290729448
2015-10-28,35610.639704869427
2015-10-29,51213.843312279976
2015-10-30,62862.237937590529
2015-10-31,42942.311787790102
2015-11-01,25673.087017649857
2015-11-02,71218.147987750432
2015-11-03,171811.47423274157
2015-11-04,274470.23823394766
2015-11-05,157932.04798265221
2015-11-06,106656.20529615282
2015-11-07,34416.713462930195
2015-11-08,30831.923010959825
2015-11-09,38111.954849139103
2015-11-10,88482.285696440435
2015-11-11,117018.93148586505
2015-11-12,57236.75520545162
2015-11-13,29935.630229709015
2015-11-14,20324.626769260223
2015-11-15,31597.167862849823
2015-11-16,25747.014236450072
2015-11-17,27167.97701985966
2015-11-18,15625.538319710211
2015-11-19,18932.552860530101
2015-11-20,30160.010247538885
2015-11-21,10478.855716170083
2015-11-22,7051.9099903400665
2015-11-23,7775.6751574101745
2015-11-24,9618.0104900500664
2015-11-25,20618.165699520017
2015-11-26,81494.12980638833
2015-11-27,34902.85886151989
2015-11-28,19427.677788399411
2015-11-29,25800.689517829585
2015-11-30,47495.855378362568
2015-12-01,44101.917478019634
2015-12-02,31554.771121479182
2015-12-03,27383.799896089593
2015-12-04,14651.487495970036
2015-12-05,46142.295400955692
2015-12-06,60599.924663989717
2015-12-07,33608.011666119084
2015-12-08,33197.623229099554
2015-12-09,52055.32070854029
2015-12-10,21325.443675719904
2015-12-11,75656.53043328003
2015-12-12,104706.95104447857
2015-12-13,33630.915414099341
2015-12-14,27298.367131309693
2015-12-15,41307.221142020098
2015-12-16,67047.015402260004
2015-12-17,17868.855585929912
2015-12-18,27050.451544759482
2015-12-19,21223.579722080114
2015-12-20,46323.16552624997
2015-12-21,43203.805052199605
2015-12-22,18516.120848540086
2015-12-23,16464.786777450066
2015-12-24,19865.738319429998
2015-12-25,15176.728026320183
2015-12-26,96491.880171703146
2015-12-27,27798.815510729753
2015-12-28,24284.330076609436
2015-12-29,22073.563199708671
2015-12-30,22247.596458339871
2015-12-31,21403.659282129691
2016-01-01,13077.668908090154
2016-01-02,6347.9529308700558
2016-01-03,19201.833363170073
2016-01-04,12950.38203246012
2016-01-05,11172.003817340024
2016-01-06,9440.1147643800905
2016-01-07,55448.623484510223
2016-01-08,29967.953086949874
2016-01-09,8950.4793471601297
2016-01-10,13778.255966589966
2016-01-11,14814.611919910152
2016-01-12,20739.288079160131
2016-01-13,33154.907713289271
2016-01-14,13304.537786190007
2016-01-15,123890.27071976822
2016-01-16,74062.260193060923
2016-01-17,20715.004300739602
2016-01-18,19469.044043689875
2016-01-19,17187.636038820216
2016-01-20,82802.50152887062
2016-01-21,29020.246475599495
2016-01-22,62213.919562690091
2016-01-23,21470.918502969747
2016-01-24,23219.927837279884
2016-01-25,22664.639672129881
2016-01-26,13322.870429170203
2016-01-27,8538.4320356900462
2016-01-28,25024.081138089769
2016-01-29,62204.811029090393
2016-01-30,10501.947978230022
2016-01-31,14887.778690270176
2016-02-01,24797.196758549686
2016-02-02,10443.462138560173
2016-02-03,13195.150196850062
2016-02-04,37339.919262199321
2016-02-05,16879.235868740143
2016-02-06,40202.133846739729
2016-02-07,13056.062393660148
2016-02-08,16881.20552174015
2016-02-09,9216.51889923005
2016-02-10,33532.245858179536
2016-02-11,14521.328019790071
2016-02-12,10146.83584537006
2016-02-13,14755.537655910162
2016-02-14,29423.676094399529
2016-02-15,30129.685193289966
2016-02-16,13991.056777410102
2016-02-17,30400.764893609914
2016-02-18,25228.634429379988
2016-02-19,13268.556246830109
2016-02-20,47477.182012390018
2016-02-21,43012.364097299542
2016-02-22,16337.466439880212
2016-02-23,32431.143075130742
2016-02-24,22426.108997230327
2016-02-25,13595.76030845033
2016-02-26,18860.341893470344
2016-02-27,11592.353368190239
2016-02-28,19852.271098541023
2016-02-29,20389.460461580609
2016-03-01,19625.832775420673
2016-03-02,16463.129152610763
2016-03-03,20874.05140072991
2016-03-04,21749.419855930013
2016-03-05,46951.851601380229
2016-03-06,19707.204719970003
2016-03-07,15306.221330260063
2016-03-08,10227.455512020048
2016-03-09,9027.7532188800633
2016-03-10,13709.082920749908
2016-03-11,15464.778642660029
2016-03-12,17020.425544630074
2016-03-13,7628.3425344400284
2016-03-14,9210.4322585000373
2016-03-15,9632.1056543800041
2016-03-16,7066.7064469199995
2016-03-17,8308.8213783500451
2016-03-18,21090.860356119949
2016-03-19,8954.9906401400603
2016-03-20,5655.4961424000994
2016-03-21,7818.3878084200487
2016-03-22,10196.105812220039
2016-03-23,7195.021234230001
2016-03-24,7559.6710863599847
2016-03-25,3690.2458806300042
2016-03-26,5039.7393594199875
2016-03-27,22410.756896220017
2016-03-28,9241.0164998301152
2016-03-29,23306.730600219191
2016-03-30,9037.9306753500623
2016-03-31,7268.3176599900398
2016-04-01,5456.7694388700393
2016-04-02,6070.7882393404889
2016-04-03,4254.1199482500006
2016-04-04,5751.2931423799928
2016-04-05,7261.8208267500313
2016-04-06,5680.1930730600052
2016-04-07,7727.1402455900698
2016-04-08,9847.5785260900484
2016-04-09,6326.9734985500545
2016-04-10,4248.0217564000459
2016-04-11,6404.8393150999946
2016-04-12,14772.705072180124
2016-04-13,6666.4544586301199
2016-04-14,4132.516662390005
2016-04-15,15836.344432850216
2016-04-16,7705.2301410600303
2016-04-17,8483.8172125200526
2016-04-18,7577.09982227003
2016-04-19,12049.763165290049
2016-04-20,21245.469975680069
2016-04-21,17836.128148700016
2016-04-22,12208.124217030179
2016-04-23,10158.088742180067
2016-04-24,24137.226633819751
2016-04-25,25926.485958799673
2016-04-26,18688.003558409855
2016-04-27,40283.224810659871
2016-04-28,25328.147052809982
2016-04-29,13419.029873500065
2016-04-30,10583.370061760057
2016-05-01,3901.3389434900114
2016-05-02,29738.734057869911
2016-05-03,12157.572085649996
2016-05-04,7045.3635689200792
2016-05-05,10788.72696544013
2016-05-06,26539.519609509942
2016-05-07,7810.8549237500856
2016-05-08,6454.8718905000014
