day,cfs
2017-09-25,1580
2017-09-26,1500
2017-09-27,1570
2017-09-28,1450
2017-09-29,1320
2017-09-30,1350
2017-10-01,1350
2017-10-02,1280
2017-10-03,1250
2017-10-04,1300
2017-10-05,1270
2017-10-06,1420
2017-10-07,1340
2017-10-08,1330
2017-10-09,1630
2017-10-10,1810
2017-10-11,2230
2017-10-12,3040
2017-10-13,3150
2017-10-14,3710
2017-10-15,3810
2017-10-16,3410
2017-10-17,3010
2017-10-18,2710
2017-10-19,2400
2017-10-20,2050
2017-10-21,1970
2017-10-22,1890
2017-10-23,1690
2017-10-24,1920
2017-10-25,2330
2017-10-26,2260
2017-10-27,2370
2017-10-28,2440
2017-10-29,2440
2017-10-30,4160
2017-10-31,16700
2017-11-01,22300
2017-11-02,13800
2017-11-03,9590
2017-11-04,7370
2017-11-05,6680
2017-11-06,5940
2017-11-07,6090
2017-11-08,7750
2017-11-09,7020
2017-11-10,9230
2017-11-11,10000
2017-11-12,8580
2017-11-13,7580
2017-11-14,6580
2017-11-15,5520
2017-11-16,5070
2017-11-17,5060
2017-11-18,4640
2017-11-19,4180
2017-11-20,4470
2017-11-21,5850
2017-11-22,5550
2017-11-23,5020
2017-11-24,4630
2017-11-25,4340
2017-11-26,4120
2017-11-27,3900
2017-11-28,3750
2017-11-29,3600
2017-11-30,3410
2017-12-01,3300
2017-12-02,3220
2017-12-03,3120
2017-12-04,2980
2017-12-05,2980
2017-12-06,3000
2017-12-07,2890
2017-12-08,2970
2017-12-09,3050
2017-12-10,2920
2017-12-11,2630
2017-12-12,2630
2017-12-13,2600
2017-12-14,2430
2017-12-15,2430
2017-12-16,2390
2017-12-17,2290
2017-12-18,2300
2017-12-19,2310
2017-12-20,2290
2017-12-21,2240
2017-12-22,2210
2017-12-23,2270
2017-12-24,2480
2017-12-25,2570
2017-12-26,2680
2017-12-27,2800
2017-12-28,2590
2017-12-29,2680
2017-12-30,2440
2017-12-31,1760
2018-01-01,1620
2018-01-02,1600
2018-01-03,1680
2018-01-04,1870
