day,mw
2017-11-16,33987.104166666664
2017-11-17,34506.166666666664
2017-11-18,31433.25
2017-11-19,32119.75
2017-11-20,35188.916666666664
2017-11-21,34151.375
2017-11-22,33052.270833333336
2017-11-23,33460.708333333336
2017-11-24,35573.416666666664
2017-11-25,32305.125
2017-11-26,31823.104166666668
2017-11-27,35297.229166666664
2017-11-28,36635.6875
2017-11-29,37306.208333333336
2017-11-30,37554.604166666664
2017-12-01,37953.791666666664
2017-12-02,34793.3125
2017-12-03,32999.5
2017-12-04,36855.208333333336
2017-12-05,36404.375
2017-12-06,34666.3125
2017-12-07,34135.270833333336
2017-12-08,36181.625
2017-12-09,36026.791666666664
2017-12-10,36313.208333333336
2017-12-11,40217.979166666664
2017-12-12,40749.479166666664
2017-12-13,38855.770833333336
2017-12-14,38705.625
2017-12-15,37894.0625
2017-12-16,36253.229166666664
2017-12-17,34870.583333333336
2017-12-18,38560.895833333336
2017-12-19,38669.229166666664
2017-12-20,37194.645833333336
2017-12-21,36475.166666666664
2017-12-22,34078.833333333336
2017-12-23,29604.916666666668
2017-12-24,27752.770833333332
2017-12-25,26388.645833333332
2017-12-26,27892.208333333332
2017-12-27,32030.291666666668
2017-12-28,33574.9375
2017-12-29,33734.416666666664
2017-12-30,30499.791666666668
2017-12-31,28146.166666666668
2018-01-01,29072.041666666668
2018-01-02,34863.416666666664
2018-01-03,34499.708333333336
2018-01-04,36414.145833333336
2018-01-05,36975.916666666664
2018-01-06,33658.75
2018-01-07,33379.791666666664
2018-01-08,38863.479166666664
2018-01-09,39205.75
2018-01-10,38398.354166666664
2018-01-11,38931.5
2018-01-12,37770.270833333336
2018-01-13,33657.666666666664
2018-01-14,32937.875
2018-01-15,35471.395833333336
2018-01-16,36215.895833333336
2018-01-17,36836.791666666664
2018-01-18,37375.875
2018-01-19,37088.416666666664
2018-01-20,36004.833333333336
2018-01-21,34933.833333333336
2018-01-22,36107.4375
2018-01-23,34558.916666666664
2018-01-24,34284.020833333336
2018-01-25,35878.604166666664
2018-01-26,37146.8125
2018-01-27,31551.145833333332
2018-01-28,29489.125
2018-01-29,34138.208333333336
2018-01-30,36000.5
2018-01-31,34851.75
2018-02-01,35328.583333333336
2018-02-02,36416.916666666664
2018-02-03,34971.395833333336
2018-02-04,33644.75
2018-02-05,38900.979166666664
2018-02-06,39427.958333333336
2018-02-07,38689.916666666664
2018-02-08,37724.75
2018-02-09,36546.083333333336
2018-02-10,33467.375
2018-02-11,30612.770833333332
2018-02-12,36175.3125
2018-02-13,37333.979166666664
2018-02-14,37580.708333333336
2018-02-15,34556.729166666664
2018-02-16,35196.625
2018-02-17,32390.6875
2018-02-18,32779.125
2018-02-19,36769.645833333336
2018-02-20,34614.3125
2018-02-21,37077.958333333336
2018-02-22,37235.770833333336
2018-02-23,36567.645833333336
2018-02-24,32014.708333333332
2018-02-25,31837.770833333332
2018-02-26,38722.604166666664
2018-02-27,39930.979166666664
2018-02-28,39442.875
2018-03-01,40297.229166666664
2018-03-02,39689.375
2018-03-03,36754.541666666664
2018-03-04,35278.666666666664
2018-03-05,38252.875
2018-03-06,37488.3125
2018-03-07,36867.458333333336
2018-03-08,36196.770833333336
2018-03-09,36655.6875
2018-03-10,31526.5625
2018-03-11,31022.375
2018-03-12,36199.854166666664
2018-03-13,35725.479166666664
2018-03-14,33279.041666666664
2018-03-15,33873
2018-03-16,32730.854166666668
2018-03-17,32128.895833333332
2018-03-18,33950.229166666664
2018-03-19,37191.770833333336
2018-03-20,37774.625
2018-03-21,35218.291666666664
2018-03-22,34507.583333333336
2018-03-23,32602.916666666668
2018-03-24,32190.8125
2018-03-25,29456.043478260868
2018-03-26,33415.645833333336
2018-03-27,33741.25
2018-03-28,35217.416666666664
2018-03-29,35080.645833333336
2018-03-30,31823.895833333332
2018-03-31,30400.520833333332
2018-04-01,30008.4375
2018-04-02,30477.354166666668
2018-04-03,32389.708333333332
2018-04-04,33079.208333333336
2018-04-05,31456.645833333332
2018-04-06,30036.208333333332
