day,wbtc
2020-06-18,4095.1565300000
2020-06-19,5839.3330300000
2020-06-20,4839.8330300000
2020-06-21,4839.8330300000
2020-06-22,4839.8330300000
2020-06-23,5175.7177500000
2020-06-24,6148.0786500000
2020-06-25,6327.9526500000
2020-06-26,7181.8202400000
2020-06-27,7755.4184400000
2020-06-28,8165.1314400000
2020-06-29,8165.1314400000
2020-06-30,8389.9739400000
2020-07-01,8689.8239400000
2020-07-02,8774.7644400000
2020-07-03,8829.7259400000
2020-07-04,8829.7259400000
2020-07-05,8919.6629400000
2020-07-06,9389.3339400000
2020-07-07,10832.7266400000
2020-07-08,10832.7266400000
2020-07-09,10931.6573400000
2020-07-10,11136.7118700000
2020-07-11,11136.7118700000
2020-07-12,11136.7118700000
2020-07-13,11136.7118700000
2020-07-14,11340.5690700000
2020-07-15,11340.5690700000
2020-07-16,11415.5165700000
2020-07-17,11505.4535700000
2020-07-18,11505.4535700000
2020-07-19,11655.3485700000
2020-07-20,12229.0077700000
2020-07-21,12229.0082700000
2020-07-22,12229.0082700000
2020-07-23,13898.1732700000
2020-07-24,14773.7942700000
2020-07-25,14973.6542700000
2020-07-26,14973.6542700000
2020-07-27,15072.5849700000
2020-07-28,15321.4106700000
2020-07-29,15521.2706700000
2020-07-30,15521.2714600000
2020-07-31,15521.2714600000
2020-08-01,15521.2714600000
2020-08-02,15521.2714600000
2020-08-03,15521.2714600000
2020-08-04,15521.2714600000
2020-08-05,15521.2714600000
2020-08-06,15821.1214600000
2020-08-07,16372.8974600000
2020-08-08,16372.8974600000
2020-08-09,16372.8974600000
2020-08-10,16471.8281600000
2020-08-11,19325.6861600000
2020-08-12,20205.2736600000
2020-08-13,20505.1236600000
2020-08-14,21104.8836600000
2020-08-15,23157.9043600000
2020-08-16,25705.8250600000
2020-08-17,26609.3532600000
2020-08-18,28358.6532600000
2020-08-19,28758.4532600000
2020-08-20,30797.5324700000
2020-08-21,30797.5324700000
2020-08-22,30797.5324700000
2020-08-23,30797.5324700000
2020-08-24,30797.5324700000
2020-08-25,30797.5324700000
2020-08-26,31097.3824700000
2020-08-27,31097.3824700000
2020-08-28,31417.2224700000
2020-08-29,32416.8224700000
2020-08-30,32416.8224700000
2020-08-31,33006.5864700000
2020-09-01,35255.6559700000
2020-09-02,38104.4809700000
2020-09-03,39104.0809700000
2020-09-04,41443.1099700000
2020-09-05,41443.1099700000
2020-09-06,43767.1799700000
2020-09-07,44621.9588900000
2020-09-08,46421.1788900000
2020-09-09,47565.7208900000
2020-09-10,49420.5336700000
2020-09-11,51294.7211700000
2020-09-12,53348.7726700000
2020-09-13,55497.8526700000
2020-09-14,56847.6875000000
2020-09-15,56847.6875000000
2020-09-16,58387.0315000000
2020-09-17,58387.0315000000
2020-09-18,64466.3340000000
2020-09-19,73472.6150000000
2020-09-20,76046.5850000000
2020-09-21,77585.9290000000
2020-09-22,77160.5657200000
2020-09-23,77860.2857200000
2020-09-24,78759.8907200000
2020-09-25,81666.2187000000
2020-09-26,85472.6955000000
2020-09-27,86472.2955000000
2020-09-28,86472.2955000000
2020-09-29,91017.0298000000
2020-09-30,92016.6298000000
2020-10-01,92016.6308000000
2020-10-02,92583.3029000000
2020-10-03,92583.3029000000
2020-10-04,93283.0229000000
2020-10-05,93283.0229000000
2020-10-06,93283.0229000000
2020-10-07,94197.0071600000
2020-10-08,94197.0071600000
2020-10-09,95196.6071600000
2020-10-10,95746.3871600000
2020-10-11,95746.3871600000
2020-10-12,95766.3571600000
2020-10-13,98135.4090700000
2020-10-14,100134.6089900000
2020-10-15,105131.6093900000
2020-10-16,105131.6093900000
2020-10-17,105131.6093900000
2020-10-18,105131.6093900000
2020-10-19,105131.6093900000
2020-10-20,105686.3873900000
2020-10-21,106785.9473900000
2020-10-22,107335.7273900000
2020-10-23,110974.8713900000
2020-10-24,110974.8713900000
2020-10-25,110974.8713900000
2020-10-26,110974.8713900000
2020-10-27,114223.5713900000
2020-10-28,114223.5713900000
2020-10-29,117585.1667700000
2020-10-30,116885.1592900000
2020-10-31,117183.2186000000
2020-11-01,117732.9986000000
2020-11-02,117732.9986000000
2020-11-03,118282.7786000000
2020-11-04,122281.1786000000
2020-11-05,122281.1786000000
2020-11-06,123130.8086000000
2020-11-07,123410.7006800000
2020-11-08,123410.7006800000
2020-11-09,123410.7006800000
2020-11-10,123410.7006800000
2020-11-11,123410.7006800000
2020-11-12,123410.7006800000
2020-11-13,123410.7006800000
2020-11-14,123960.4806800000
2020-11-15,124260.3306800000
2020-11-16,124260.3306800000
2020-11-17,124260.3306800000
2020-11-18,124260.3306800000
2020-11-19,124260.3306800000
2020-11-20,124260.3306800000
2020-11-21,124260.3306800000
2020-11-22,124260.3306800000
2020-11-23,124260.3306800000
2020-11-24,124501.4806800000
2020-11-25,124181.4806800000
2020-11-26,124181.3306800000
2020-11-27,122831.3306800000
2020-11-28,122831.3306800000
2020-11-29,122831.3306800000
2020-11-30,122831.3306800000
2020-12-01,121831.3401600000
2020-12-02,119893.4389100000
2020-12-03,119893.4389100000
2020-12-04,119893.4389100000
2020-12-05,120443.2189100000
2020-12-06,120443.2189100000
2020-12-07,120443.2189100000
2020-12-08,119453.0199100000
2020-12-09,118704.0199100000
2020-12-10,117742.0199100000
2020-12-11,117061.8699100000
2020-12-12,116060.8699100000
2020-12-13,115011.2899100000
2020-12-14,115011.2899100000
2020-12-15,115011.2899100000
2020-12-16,115710.9399100000
2020-12-17,115710.9399100000
2020-12-18,115710.9399100000
2020-12-19,115710.9399100000
2020-12-20,115710.9399100000
2020-12-21,115630.9399100000
2020-12-22,115630.9399100000
2020-12-23,115230.9399100000
2020-12-24,113330.9399100000
2020-12-25,112380.9399100000
2020-12-26,112380.9399100000
2020-12-27,112380.9399100000
2020-12-28,113235.5679100000
2020-12-29,113235.5679100000
2020-12-30,113262.6907900000
2020-12-31,112947.6907900000
2021-01-01,112947.6907900000
2021-01-02,112947.6907900000
2021-01-03,107948.6907900000
2021-01-04,107948.6907900000
2021-01-05,108803.3187900000
2021-01-06,109208.0967900000
2021-01-07,109208.0967900000
2021-01-08,110107.7067900000
2021-01-09,110559.5567900000
2021-01-10,110559.5567900000
2021-01-11,110559.5567900000
2021-01-12,111059.3067900000
2021-01-13,111011.8192600000
2021-01-14,110771.7772600000
2021-01-15,110772.7752600000
2021-01-16,110772.7752600000
2021-01-17,110772.7752600000
2021-01-18,110772.7752600000
2021-01-19,110772.7752600000
2021-01-20,111322.5552600000
2021-01-21,111672.3802600000
2021-01-22,112222.1602600000
2021-01-23,112222.1602600000
2021-01-24,112771.9402600000
2021-01-25,112771.9402600000
2021-01-26,115071.0202600000
2021-01-27,115071.0202600000
2021-01-28,115071.0202600000
2021-01-29,115621.1787100000
2021-01-30,115621.1787100000
2021-01-31,116170.9587100000
2021-02-01,115870.9587100000
2021-02-02,116870.5587100000
2021-02-03,117570.2783200000
2021-02-04,117570.2783200000
2021-02-05,118696.6036100000
2021-02-06,119246.3836100000
2021-02-07,120975.6186100000
2021-02-08,121525.3986100000
2021-02-09,121525.3986100000
2021-02-10,126524.5981300000
2021-02-11,126844.4279100000
2021-02-12,127145.2774100000
2021-02-13,127145.2774100000
2021-02-14,127145.2774100000
2021-02-15,127145.2774100000
2021-02-16,127145.2973500000
2021-02-17,125982.5306400000
2021-02-18,125982.5306400000
2021-02-19,123287.6439100000
2021-02-20,123342.6054100000
2021-02-21,123342.6054100000
2021-02-22,123342.6054100000
2021-02-23,123342.6054100000
